id_bien,date_vente,valeur_bien,numero_voie,b_t_q,FK_id_type_voie,nom_voie,FK_id_commune,FK_id_type_bien,nbr_pieces,surface_terrain,surface_reelle,surface_carrez
7093,2020-05-29,282000.00,13,,0,DU CAPITAINE FERRAND,818,1,2,,47,74.94
7094,2020-06-12,399950.00,21,,2,EDOUARD GAFFET,809,1,3,,58,57.5
7095,2020-06-17,117000.00,21,,0,DU ONZE NOVEMBRE 1918,814,2,1,,38,38.76
7096,2020-06-09,215000.00,60,,4,DE VERDUN,813,2,4,,70,92.12
7097,2020-05-29,713810.00,106,,1,DE LA VIGNE CAP FERRET,822,1,4,,82,80.99
7098,2020-06-12,184000.00,12,,1,STE MARIE,809,2,1,,28,35.18
7099,2020-05-22,140000.00,,,10,DE BISSERIE,812,2,2,,35,34.08
7100,2020-05-26,154000.00,2,,2,MAURICE LAFON,808,2,2,,41,41
7101,2020-05-29,230000.00,72,,4,LAMARQUE DE PLAISANCE,809,2,3,,54,54.67
7102,2020-06-12,124010.00,19,,1,DE LA COTE D ARGENT,853,2,2,,44,44.04
7103,2020-06-17,194000.00,1,,0,DES POILUS,812,2,2,,46,42.56
7104,2020-05-29,94787.00,1,,1,DE LA GARONNE,815,2,3,,65,64.8
7105,2020-06-17,108072.00,28,,0,ARISTIDE BRIAND,814,2,4,,72,76.38
7106,2020-06-22,158000.00,37,,4,DE LA REPUBLIQUE,813,2,2,,41,41.34
7107,2020-05-27,140000.00,4,,0,MARTIAL GARNUNG,823,2,2,,50,51.15
7108,2020-06-08,104240.00,79,,1,DE LA REPUBLIQUE,858,2,2,,67,55.91
7109,2020-06-05,144400.00,13,,1,DE LA LIBERATION,841,2,2,,48,42.9
7110,2020-06-12,210000.00,9,B,0,RICHELIEU,815,2,3,,51,54.67
7111,2020-06-15,120000.00,7,,1,THIERS,818,2,1,,30,29.46
7112,2020-05-28,138004.00,2,,0,PIERRE BENOIT,814,2,5,,93,97.85
7113,2020-06-11,118600.00,5000,,25,DE LA VERRERIE,825,1,3,,57,57.71
7114,2020-06-02,110000.00,10,,2,DES MIMOSAS,851,2,2,,33,33.52
7115,2020-06-03,165000.00,66,,4,DE VERDUN,813,2,3,,56,57.43
7116,2020-06-17,121000.00,17,,1,DES TOURTERELLES,829,2,4,,66,73.12
7117,2020-06-13,119000.00,5,B,1,DU GENERAL DE GAULLE,842,2,3,,58,71.61
7118,2020-05-28,193400.00,46,,1,DE LA MAIRIE,833,1,3,,65,64.64
7119,2020-06-23,320000.00,17,C,0,ST ELME,809,2,3,,78,78.93
7120,2020-06-10,105000.00,20,,1,DU PDT SALVADOR ALLENDE,819,2,2,,41,42.68
7121,2020-06-23,233000.00,3,,0,DES HELIANTHEMES,812,2,2,,43,42.08
7122,2020-06-16,340000.00,5,,2,DU BOIS D'ARMAND,829,2,2,,77,76.38
7123,2020-06-18,130000.00,80,,3,DE SALIGNAC,849,1,4,,81,83.27
7124,2020-05-28,104500.00,21,,0,EDOUARD HERRIOT,819,2,2,,36,36.89
7125,2020-06-04,229000.00,40,,0,PROMIS,818,2,3,,67,66.65
7126,2020-06-26,120500.00,21,,0,EDOUARD HERRIOT,819,2,2,,41,40.39
7127,2020-06-10,158000.00,64,,4,HERICART DE THURY,809,2,1,,29,29.43
7128,2020-06-03,120000.00,165,,0,DE L ORMEAU,811,2,2,,42,42.22
7129,2020-06-23,140000.00,13,,0,ARISTIDE BRIAND,814,2,1,,42,42.08
7130,2020-06-19,120750.00,33,,0,DE LA LIBERTE,813,2,2,,38,39.32
7131,2020-06-19,63000.00,9000,,8,RESIDENCE VOLUTIS,831,2,2,,41,41.29
7132,2020-06-24,168000.00,7,,0,DU QUATORZE JUILLET,829,2,2,,47,46.63
7133,2020-06-22,185000.00,1,B,0,JACQUES THIBAULT,819,2,3,,66,65.81
7134,2020-06-03,277050.00,9001,,2,DES TILLEULS,809,2,2,,44,44.4
7135,2020-06-11,144250.00,11,,0,CAMILLE PELLETAN,814,2,3,,60,66.51
7136,2020-06-15,91500.00,55,,3,DE BOURG,849,2,2,,41,40.81
7137,2020-06-15,317450.00,28,,0,ANDRE MALRAUX,810,1,4,,105,107.08
7138,2020-06-12,186000.00,25,,0,AUGUSTE BOLLEE,844,1,3,,70,69.34
7139,2020-06-26,138100.00,20,,0,RENE DESCARTES,814,2,5,,100,103.84
7140,2020-06-17,215000.00,40,,0,DES FRENES,811,1,3,,70,68.72
7141,2020-06-17,120000.00,29,,0,MICHEL LABARTHE,812,2,4,,73,72.7
7142,2020-06-23,346667.94,10,,18,DU PAS DE MADAME,837,1,4,,87,87
7143,2020-06-05,55000.00,4,,0,PIERRE CURIE,814,2,1,,18,18.27
7144,2020-06-16,469950.00,135,,4,LAMARQUE DE PLAISANCE,809,2,4,,120,120.93
7145,2020-06-15,228400.00,11,,1,DE LA GARONNE,815,2,3,,69,69.14
7146,2020-06-23,235000.00,615,,8,RUAUT,859,1,3,,66,80.48
7147,2020-06-18,154000.00,2,,2,ELSA TRIOLET,814,2,2,,54,54.34
7148,2020-06-25,164180.00,8,,43,FEAUGAS,818,2,2,,39,39.42
7149,2020-06-22,226000.00,1,,0,DE BOURDIEU,827,2,2,,59,59.69
7150,2020-06-29,78500.00,1,,0,JEAN ZAY,814,2,1,,16,16.94
7151,2020-06-24,273100.00,1,,2,F. GOYA,815,2,3,,71,70.29
7152,2020-06-22,400000.00,20,,1,DES TOURTERELLES,829,1,5,,104,88
7153,2020-06-26,70000.00,12,,3,DE FLAUJACQ,860,2,2,,41,41.58
7154,2020-06-29,92000.00,22,,2,DE BOURDETTE,821,2,2,,50,50.88
7155,2020-06-23,126500.00,9001,,18,LA BACHELLERIE,819,2,4,,74,71.79
7156,2020-06-25,85000.00,2,,2,DE BOURDETTE,821,2,2,,43,43.49
7157,2020-06-10,160000.00,55,,3,DE BOURG,849,2,4,,73,73.58
7158,2020-06-12,805230.00,106,,1,DE LA VIGNE CAP FERRET,822,1,4,,83,82.07
7159,2020-06-29,250000.00,9000,,2,MARIE DUFAURE CAZAUX,812,1,3,,72,71.83
7160,2020-06-29,218000.00,30,,0,MICHEL LABARTHE,812,2,4,,73,71.05
7161,2020-06-10,220000.00,24,,15,DE L OCEAN,809,2,1,,33,38.7
7162,2020-06-30,177500.00,13,,0,EDOUARD ET JACQUES BEYNEL,823,2,2,,43,48.63
7163,2020-06-30,75000.00,5004,,8,LES JARDINS DE LA PALMERAI,831,2,2,,43,44.5
7164,2020-06-16,238000.00,7,,1,PIERRE PONS,817,2,2,,47,47.3
